,RH,SR,Temperature,WBGT,Wind
2174,52.84832,4185.843,28.59903,22.741196,4.785
2175,60.95522,3.5999988e-12,27.335358,22.394161,4.2501464
2176,62.508984,3.5999988e-12,27.034332,22.261396,3.5359793
2177,67.57925,3.5999988e-12,24.445465,20.266575,3.1541507
2178,67.03689,3.5999988e-12,24.31607,20.12931,2.8539944
2179,64.92871,3.5999988e-12,24.281403,19.944292,2.3578944
2180,68.9395,3.5999988e-12,22.162994,18.310102,1.8572474
2181,68.27393,3.5999988e-12,22.063873,18.158947,2.1197398
2182,65.44352,3.5999988e-12,21.707428,17.643393,1.9484923
2183,64.45214,3.5999988e-12,21.943268,17.783726,2.0093708
2184,63.879658,3.5999988e-12,22.044342,17.82462,2.2013557
2185,65.49872,38.375,21.739655,17.657871,2.3429976
2186,52.42765,246717.38,25.513214,20.207123,2.3431172
2187,41.367245,979647.5,26.376007,20.535353,2.6609714
2188,40.018932,1753189.0,27.81192,20.962252,3.3866978
2189,31.888655,2407066.0,31.627167,23.023746,3.6229405
2190,28.263706,2845585.0,33.01364,23.62442,3.4981716
2191,27.821054,3181937.0,33.28531,23.801857,2.9752882
2192,24.773468,2670632.0,35.193573,24.724958,2.5610054
2193,24.547949,2711845.0,35.332916,24.79764,2.4378095
2194,23.832792,2216763.0,34.579865,24.065302,2.6476212
2195,22.682255,1599448.0,34.77664,23.963654,2.937285
2196,23.67584,915703.44,34.841827,24.100359,2.586321
2197,29.439083,317927.88,33.214996,24.359932,1.9989758
2198,33.610085,4531.529,30.361725,22.122248,3.2675223
2199,42.07447,3.5999988e-12,28.926422,21.871119,3.8036275
2200,49.483105,3.5999988e-12,28.189117,22.013353,3.5003164
2201,58.754646,3.5999988e-12,25.46695,20.485273,2.941511
2202,61.172455,3.5999988e-12,24.968903,20.268467,2.3324103
2203,64.039505,3.5999988e-12,24.285065,19.888445,2.0943556
2204,69.64201,3.5999988e-12,22.089264,18.270626,2.3458877
2205,69.05618,3.5999988e-12,22.070343,18.200205,2.644134
2206,57.749866,3.5999988e-12,22.470001,17.692764,3.1163878
2207,55.480743,3.5999988e-12,22.781647,17.793215,3.6989589
2208,51.078594,3.5999988e-12,23.34256,17.93482,3.7521577
2209,49.292107,76.75,23.1055,17.594728,3.4223216
2210,39.304314,238301.62,25.554108,18.984879,3.9013135
2211,36.03749,951998.4,25.924713,19.581192,4.3661184
2212,37.103226,1718237.0,27.350494,20.259598,4.8093452
2213,30.7626,2398136.0,32.02292,23.173769,4.7070184
2214,29.419926,2761291.0,33.57419,24.222366,3.9890304
2215,28.909224,2825947.0,33.54416,24.128298,3.2624586
2216,25.91603,2588007.0,34.91855,24.692822,2.7569094
2217,25.746065,2377348.0,35.24179,24.890024,2.3864324
2218,26.709229,2034936.0,34.525665,24.461676,1.7866713
2219,25.682419,1606091.0,34.727875,24.407965,1.5083646
